entry_date,entry_price,pattern_score,pattern_desc,stop_loss,take_profit,outcome,forward_return_pct
2021-08-17,984.76,7.37,"Return(1.8/4), Volume(2.6/3), SMA(3.0/3)",948.06,1058.15,TAKE_PROFIT_HIT,12.2
2021-08-27,1013.49,7.12,"Return(2.1/4), Volume(2.0/3), SMA(3.0/3)",979.02,1082.44,TAKE_PROFIT_HIT,13.34
2021-09-01,1031.56,7.72,"Return(1.7/4), Volume(3.0/3), SMA(3.0/3)",995.42,1103.83,TAKE_PROFIT_HIT,11.12
2021-09-06,1103.68,10.0,"Return(4.0/4), Volume(3.0/3), SMA(3.0/3)",1060.53,1189.97,HOLD_20_DAYS,7.57
2021-09-07,1110.64,10.0,"Return(4.0/4), Volume(3.0/3), SMA(3.0/3)",1066.93,1198.06,HOLD_20_DAYS,4.87
2021-09-08,1106.29,8.63,"Return(4.0/4), Volume(1.6/3), SMA(3.0/3)",1061.73,1195.42,HOLD_20_DAYS,5.8
2021-09-09,1103.68,7.7,"Return(4.0/4), Volume(0.7/3), SMA(3.0/3)",1060.02,1191.0,TAKE_PROFIT_HIT,10.13
2021-09-20,1089.46,7.74,"Return(1.7/4), Volume(3.0/3), SMA(3.0/3)",1040.39,1187.59,TAKE_PROFIT_HIT,14.1
2022-01-17,1161.3,7.73,"Return(3.1/4), Volume(1.6/3), SMA(3.0/3)",1120.61,1242.7,STOP_LOSS_HIT,-5.26
2022-03-23,1155.37,9.35,"Return(4.0/4), Volume(2.3/3), SMA(3.0/3)",1094.58,1276.95,HOLD_20_DAYS,8.65
2022-03-24,1173.32,7.66,"Return(4.0/4), Volume(0.7/3), SMA(3.0/3)",1110.62,1298.71,HOLD_20_DAYS,4.51
2022-03-25,1181.14,7.12,"Return(4.0/4), Volume(0.1/3), SMA(3.0/3)",1119.68,1304.07,HOLD_20_DAYS,6.93
2022-03-28,1193.02,7.21,"Return(3.8/4), Volume(0.4/3), SMA(3.0/3)",1135.47,1308.11,HOLD_20_DAYS,5.97
2022-03-30,1216.22,7.0,"Return(4.0/4), Volume(0.0/3), SMA(3.0/3)",1165.01,1318.66,STOP_LOSS_HIT,4.39
2022-03-31,1198.84,7.84,"Return(4.0/4), Volume(0.8/3), SMA(3.0/3)",1148.05,1300.43,STOP_LOSS_HIT,5.53
2022-04-01,1208.44,7.21,"Return(4.0/4), Volume(0.2/3), SMA(3.0/3)",1157.12,1311.09,STOP_LOSS_HIT,1.42
2022-04-21,1265.89,7.47,"Return(1.8/4), Volume(2.7/3), SMA(3.0/3)",1212.73,1372.21,STOP_LOSS_HIT,-5.67
2022-04-28,1283.07,7.24,"Return(3.2/4), Volume(1.0/3), SMA(3.0/3)",1218.13,1412.93,STOP_LOSS_HIT,-8.68
2022-04-29,1269.6,8.83,"Return(3.6/4), Volume(2.2/3), SMA(3.0/3)",1202.92,1402.95,STOP_LOSS_HIT,-4.5
2022-05-02,1265.14,7.32,"Return(3.6/4), Volume(0.7/3), SMA(3.0/3)",1199.6,1396.21,STOP_LOSS_HIT,-5.32
2022-06-01,1198.27,7.65,"Return(1.7/4), Volume(3.0/3), SMA(3.0/3)",1129.16,1336.5,STOP_LOSS_HIT,-2.03
2022-06-03,1264.71,8.0,"Return(4.0/4), Volume(1.0/3), SMA(3.0/3)",1192.4,1409.31,STOP_LOSS_HIT,-13.34
2022-10-31,1163.88,8.13,"Return(2.8/4), Volume(2.3/3), SMA(3.0/3)",1115.64,1260.37,HOLD_20_DAYS,6.38
2022-11-29,1238.11,7.42,"Return(1.4/4), Volume(3.0/3), SMA(3.0/3)",1189.61,1335.12,STOP_LOSS_HIT,-6.18
2022-12-01,1243.18,8.02,"Return(2.0/4), Volume(3.0/3), SMA(3.0/3)",1195.86,1337.8,STOP_LOSS_HIT,-6.61
2023-06-19,1164.89,7.57,"Return(1.6/4), Volume(3.0/3), SMA(3.0/3)",1135.18,1224.3,STOP_LOSS_HIT,10.53
2023-07-10,1248.54,7.05,"Return(3.1/4), Volume(0.9/3), SMA(3.0/3)",1208.23,1329.17,HOLD_20_DAYS,-0.02
2023-07-11,1262.08,9.98,"Return(4.0/4), Volume(3.0/3), SMA(3.0/3)",1221.37,1343.48,STOP_LOSS_HIT,-1.69
2023-07-12,1263.47,9.62,"Return(4.0/4), Volume(2.6/3), SMA(3.0/3)",1221.56,1347.29,STOP_LOSS_HIT,-1.15
2023-07-13,1252.17,9.05,"Return(4.0/4), Volume(2.1/3), SMA(3.0/3)",1208.93,1338.66,HOLD_20_DAYS,0.18
2023-07-14,1251.12,7.27,"Return(3.3/4), Volume(0.9/3), SMA(3.0/3)",1207.07,1339.21,HOLD_20_DAYS,0.69
2023-07-17,1276.68,7.88,"Return(3.9/4), Volume(1.0/3), SMA(3.0/3)",1228.7,1372.65,STOP_LOSS_HIT,-0.16
2023-07-18,1287.53,9.01,"Return(3.1/4), Volume(2.9/3), SMA(3.0/3)",1238.14,1386.31,STOP_LOSS_HIT,-1.08
2023-07-19,1297.29,9.91,"Return(3.9/4), Volume(3.0/3), SMA(3.0/3)",1246.76,1398.37,STOP_LOSS_HIT,-3.24
2023-07-20,1295.72,9.93,"Return(3.9/4), Volume(3.0/3), SMA(3.0/3)",1243.36,1400.46,STOP_LOSS_HIT,-2.41
2023-07-21,1255.61,7.69,"Return(1.7/4), Volume(3.0/3), SMA(3.0/3)",1201.13,1364.59,HOLD_20_DAYS,-0.39
2024-01-12,1360.65,8.09,"Return(2.1/4), Volume(3.0/3), SMA(3.0/3)",1317.48,1447.01,STOP_LOSS_HIT,6.89
2024-01-15,1383.88,7.42,"Return(3.1/4), Volume(1.3/3), SMA(3.0/3)",1338.46,1474.72,STOP_LOSS_HIT,6.26
2024-01-24,1334.0,7.03,"Return(1.6/4), Volume(2.5/3), SMA(3.0/3)",1280.21,1441.58,TAKE_PROFIT_HIT,10.26
2024-01-25,1343.13,7.59,"Return(1.9/4), Volume(2.6/3), SMA(3.0/3)",1287.42,1454.56,TAKE_PROFIT_HIT,10.39
2024-01-30,1397.28,7.4,"Return(1.4/4), Volume(3.0/3), SMA(3.0/3)",1325.71,1540.44,HOLD_20_DAYS,5.54
