entry_date,entry_price,pattern_score,pattern_desc,relative_strength_score,volume_score,sma_score,volatility_score,stop_loss,take_profit,outcome,forward_return_pct
2021-02-12,925.73,9.5,RS(4.0) Vol(1.7) SMA(3.0) Volatility(0.8),4.0,1.7126540065024427,3.0,0.786905848297603,869.88,1037.42,HOLD_20_DAYS,3.3
2021-02-15,921.64,8.29,RS(4.0) Vol(0.3) SMA(3.0) Volatility(1.0),4.0,0.2863066841656494,3.0,1.0047812057596641,871.06,1022.8,HOLD_20_DAYS,3.35
2021-02-18,937.56,7.61,RS(3.4) Vol(0.0) SMA(3.0) Volatility(1.2),3.436154480800292,0.0,3.0,1.1745607283849364,890.09,1032.51,HOLD_20_DAYS,0.69
2021-02-19,943.27,7.28,RS(3.1) Vol(0.0) SMA(3.0) Volatility(1.2),3.0573751241065477,0.0,3.0,1.2181423300788468,896.54,1036.74,HOLD_20_DAYS,-0.86
2021-03-04,986.6,8.19,RS(4.0) Vol(0.2) SMA(3.0) Volatility(1.0),4.0,0.15050629762383982,3.0,1.0351949949626171,933.2,1093.39,STOP_LOSS_HIT,-8.8
2021-03-05,987.89,7.74,RS(3.8) Vol(0.0) SMA(3.0) Volatility(1.0),3.758598114972229,0.0,3.0,0.9787514675523085,933.03,1097.61,STOP_LOSS_HIT,-8.07
2021-03-09,993.49,7.89,RS(4.0) Vol(0.0) SMA(3.0) Volatility(0.9),4.0,0.0,3.0,0.8896900112777619,936.11,1108.25,STOP_LOSS_HIT,-9.54
2021-03-10,989.36,7.89,RS(4.0) Vol(0.0) SMA(3.0) Volatility(0.9),4.0,0.0,3.0,0.8917086179654881,932.27,1103.55,STOP_LOSS_HIT,-12.41
2021-05-21,908.02,7.73,RS(2.9) Vol(0.0) SMA(3.0) Volatility(1.8),2.922818278991394,0.0,3.0,1.8100579408593682,876.47,971.12,TAKE_PROFIT_HIT,11.53
2021-05-28,949.85,10.06,RS(3.0) Vol(2.3) SMA(3.0) Volatility(1.8),2.9841566354076257,2.320534221884616,3.0,1.7509694643119194,915.44,1018.67,TAKE_PROFIT_HIT,0.81
2021-05-31,979.55,11.58,RS(4.0) Vol(3.0) SMA(3.0) Volatility(1.6),4.0,3.0,3.0,1.5811768149789873,939.9,1058.83,HOLD_20_DAYS,-3.1
