date,price,atr14,sma50,final_score,return_score,volume_score,sma_score,description
2020-12-20,879.52,20.15,916.20,0.00,0.00,0.00,0.00,"Return(0.0/4), Volume(0.0/3), SMA(0.0/3)"
2020-12-21,878.16,21.56,913.48,1.17,0.00,1.17,0.00,"Return(0.0/4), Volume(1.2/3), SMA(0.0/3)"
2020-12-22,881.40,21.81,910.42,0.00,0.00,0.00,0.00,"Return(0.0/4), Volume(0.0/3), SMA(0.0/3)"
2020-12-23,904.21,22.65,907.76,0.00,0.00,0.00,0.00,"Return(0.0/4), Volume(0.0/3), SMA(0.0/3)"
2020-12-27,908.36,22.63,905.92,3.00,0.00,0.00,3.00,"Return(0.0/4), Volume(0.0/3), SMA(3.0/3)"
2020-12-28,902.35,21.52,904.23,0.00,0.00,0.00,0.00,"Return(0.0/4), Volume(0.0/3), SMA(0.0/3)"
2020-12-29,904.82,21.24,902.60,3.08,0.08,0.00,3.00,"Return(0.1/4), Volume(0.0/3), SMA(3.0/3)"
2020-12-30,900.20,21.43,901.05,0.22,0.22,0.00,0.00,"Return(0.2/4), Volume(0.0/3), SMA(0.0/3)"
2020-12-31,901.19,19.85,899.81,3.22,0.22,0.00,3.00,"Return(0.2/4), Volume(0.0/3), SMA(3.0/3)"
2021-01-03,902.71,19.93,898.75,3.11,0.11,0.00,3.00,"Return(0.1/4), Volume(0.0/3), SMA(3.0/3)"
2021-01-04,891.49,20.08,897.42,0.00,0.00,0.00,0.00,"Return(0.0/4), Volume(0.0/3), SMA(0.0/3)"
2021-01-05,867.98,21.10,896.38,0.00,0.00,0.00,0.00,"Return(0.0/4), Volume(0.0/3), SMA(0.0/3)"
2021-01-06,866.58,21.47,895.26,2.53,0.00,2.53,0.00,"Return(0.0/4), Volume(2.5/3), SMA(0.0/3)"
2021-01-07,876.80,21.06,894.55,0.85,0.00,0.85,0.00,"Return(0.0/4), Volume(0.9/3), SMA(0.0/3)"
2021-01-10,860.27,17.16,893.38,0.28,0.00,0.28,0.00,"Return(0.0/4), Volume(0.3/3), SMA(0.0/3)"
2021-01-11,887.39,16.91,892.50,0.97,0.00,0.97,0.00,"Return(0.0/4), Volume(1.0/3), SMA(0.0/3)"
2021-01-12,879.11,17.74,893.05,1.90,0.00,1.90,0.00,"Return(0.0/4), Volume(1.9/3), SMA(0.0/3)"
2021-01-13,889.00,16.87,894.05,0.04,0.00,0.04,0.00,"Return(0.0/4), Volume(0.0/3), SMA(0.0/3)"
2021-01-14,878.50,17.84,894.27,0.00,0.00,0.00,0.00,"Return(0.0/4), Volume(0.0/3), SMA(0.0/3)"
2021-01-17,899.58,19.26,894.53,3.00,0.00,0.00,3.00,"Return(0.0/4), Volume(0.0/3), SMA(3.0/3)"
2021-01-18,914.30,19.76,894.42,4.84,0.51,1.33,3.00,"Return(0.5/4), Volume(1.3/3), SMA(3.0/3)"
2021-01-19,931.67,20.52,894.45,5.75,1.80,0.95,3.00,"Return(1.8/4), Volume(0.9/3), SMA(3.0/3)"
