outcome,feature,25%,50%,75%,count,max,mean,min,std
HOLD_20_DAYS,atr_pct,1.99,2.24,2.53,65.0,3.06,2.23,1.31,0.38
HOLD_20_DAYS,return_score,2.55,3.34,4.0,65.0,4.0,3.06,0.39,0.93
HOLD_20_DAYS,sma_score,3.0,3.0,3.0,65.0,3.0,3.0,3.0,0.0
HOLD_20_DAYS,volatility_score,1.17,1.41,1.6,65.0,2.0,1.41,0.75,0.3
HOLD_20_DAYS,volume_score,0.0,0.5,2.08,65.0,3.0,0.98,0.0,1.15
STOP_LOSS_HIT,atr_pct,1.66,1.9,2.1,88.0,2.89,1.89,1.03,0.38
STOP_LOSS_HIT,return_score,2.04,2.6,3.23,88.0,4.0,2.63,0.59,0.95
STOP_LOSS_HIT,sma_score,3.0,3.0,3.0,88.0,3.0,3.0,3.0,0.0
STOP_LOSS_HIT,volatility_score,1.52,1.68,1.87,88.0,2.0,1.66,0.89,0.26
STOP_LOSS_HIT,volume_score,0.0,0.67,1.91,88.0,3.0,1.07,0.0,1.16
TAKE_PROFIT_HIT,atr_pct,1.5,1.76,1.91,44.0,2.48,1.69,0.97,0.34
TAKE_PROFIT_HIT,return_score,1.7,2.09,2.6,44.0,4.0,2.17,0.37,0.82
TAKE_PROFIT_HIT,sma_score,3.0,3.0,3.0,44.0,3.0,3.0,3.0,0.0
TAKE_PROFIT_HIT,volatility_score,1.67,1.8,2.0,44.0,2.0,1.8,1.22,0.2
TAKE_PROFIT_HIT,volume_score,0.18,0.94,1.82,44.0,3.0,1.13,0.0,1.02
